Timestamp,Zone ID,Zone Name,Workers Assigned,Tasks Arriving,Tasks Completed,Backlog Size,Utilization Rate (%),Recommended Workers,Notes
2024-11-01 00:00,Zone A,Receiving,5,30,40,0,80,5,Normal operation
2024-11-01 00:00,Zone B,Picking,3,20,30,0,100,3,Normal operation
2024-11-01 00:00,Zone C,Packing,4,25,35,0,88,4,Normal operation
2024-11-01 01:00,Zone A,Receiving,5,35,45,0,90,5,Normal operation
2024-11-01 01:00,Zone B,Picking,3,22,30,0,100,3,Normal operation
2024-11-01 01:00,Zone C,Packing,4,28,35,0,88,4,Normal operation
2024-11-01 02:00,Zone A,Receiving,5,40,50,0,100,5,Normal operation
2024-11-01 02:00,Zone B,Picking,3,25,30,0,100,3,Normal operation
2024-11-01 02:00,Zone C,Packing,4,30,35,0,88,4,Normal operation
2024-11-01 03:00,Zone A,Receiving,5,45,50,0,100,5,Normal operation
2024-11-01 03:00,Zone B,Picking,3,28,30,0,100,3,Normal operation
2024-11-01 03:00,Zone C,Packing,4,32,35,0,88,4,Normal operation
2024-11-01 04:00,Zone A,Receiving,5,50,45,5,90,6,Backlog increasing
2024-11-01 04:00,Zone B,Picking,3,30,30,0,100,3,Normal operation
2024-11-01 04:00,Zone C,Packing,4,35,35,0,88,4,Normal operation
2024-11-01 05:00,Zone A,Receiving,6,55,60,0,100,6,Adjusted workers
2024-11-01 05:00,Zone B,Picking,3,32,30,2,95,4,Backlog increasing
2024-11-01 05:00,Zone C,Packing,4,38,35,3,88,5,Backlog increasing
2024-11-01 06:00,Zone A,Receiving,6,60,60,0,100,6,Normal operation
2024-11-01 06:00,Zone B,Picking,4,35,40,0,100,4,Adjusted workers
2024-11-01 06:00,Zone C,Packing,5,40,45,0,90,5,Adjusted workers
2024-11-01 07:00,Zone A,Receiving,6,65,60,5,95,7,Backlog increasing
2024-11-01 07:00,Zone B,Picking,4,38,40,0,100,4,Normal operation
2024-11-01 07:00,Zone C,Packing,5,45,45,0,90,5,Normal operation
2024-11-01 08:00,Zone A,Receiving,7,70,70,5,100,7,Peak hour demand
2024-11-01 08:00,Zone B,Picking,4,40,40,0,100,4,Normal operation
2024-11-01 08:00,Zone C,Packing,5,50,45,5,90,6,Backlog increasing
2024-11-01 09:00,Zone A,Receiving,7,75,70,10,95,8,Backlog increasing
2024-11-01 09:00,Zone B,Picking,4,42,40,2,95,5,Backlog increasing
2024-11-01 09:00,Zone C,Packing,6,55,50,10,92,6,Adjusted workers
2024-11-01 10:00,Zone A,Receiving,8,80,80,10,100,8,Normal operation
2024-11-01 10:00,Zone B,Picking,5,45,50,0,100,5,Adjusted workers
2024-11-01 10:00,Zone C,Packing,6,60,60,0,100,6,Normal operation
2024-11-01 11:00,Zone A,Receiving,8,85,80,15,95,9,Backlog increasing
2024-11-01 11:00,Zone B,Picking,5,48,50,0,100,5,Normal operation
2024-11-01 11:00,Zone C,Packing,6,65,60,5,95,7,Backlog increasing
2024-11-01 12:00,Zone A,Receiving,9,90,90,15,100,9,Normal operation
2024-11-01 12:00,Zone B,Picking,5,50,50,0,100,5,Normal operation
2024-11-01 12:00,Zone C,Packing,7,70,70,0,100,7,Adjusted workers
2024-11-01 13:00,Zone A,Receiving,9,95,90,20,95,10,Backlog increasing
2024-11-01 13:00,Zone B,Picking,5,52,50,2,95,6,Backlog increasing
2024-11-01 13:00,Zone C,Packing,7,75,70,5,95,8,Backlog increasing
2024-11-01 14:00,Zone A,Receiving,10,100,100,20,100,10,Normal operation
2024-11-01 14:00,Zone B,Picking,6,55,60,0,100,6,Adjusted workers
2024-11-01 14:00,Zone C,Packing,8,80,80,0,100,8,Normal operation
2024-11-01 15:00,Zone A,Receiving,10,95,100,15,100,10,Backlog reducing
2024-11-01 15:00,Zone B,Picking,6,53,60,0,100,6,Normal operation
2024-11-01 15:00,Zone C,Packing,8,78,80,0,100,8,Normal operation
2024-11-01 16:00,Zone A,Receiving,10,90,100,5,100,10,Backlog reducing
2024-11-01 16:00,Zone B,Picking,6,50,60,0,100,6,Normal operation
